City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,port alfred,-33.5906,26.891,290.01,76,3,3.9,ZA,1683682559
118,madimba,-10.4,40.3333,295.31,91,8,3.99,TZ,1683682799
119,longyearbyen,78.2186,15.6401,272.06,64,75,2.57,SJ,1683682665
120,nova sintra,14.8667,-24.7167,293.54,80,2,6.04,CV,1683682603
121,otjiwarongo,-20.4637,16.6477,287.93,37,0,2.56,NA,1683682724
122,san patricio,28.017,-97.5169,298.62,88,70,7.09,US,1683682541
123,santiago de chuco,-8.15,-78.1833,282.94,89,100,2.0,PE,1683682801
124,pathein,16.7833,94.7333,304.94,59,100,0.88,MM,1683682802
125,avarua,-21.2078,-159.775,298.18,83,75,8.23,CK,1683682637
126,mejit,10.2753,170.8646,300.66,82,99,7.48,MH,1683682624
127,enewetak,11.3474,162.3373,300.41,84,93,7.22,MH,1683682586
128,harper,4.375,-7.7169,300.03,83,100,2.25,LR,1683682804
129,ribeira grande,38.5167,-28.7,291.36,97,100,7.6,PT,1683682574
130,college,64.8569,-147.8028,286.33,33,75,3.09,US,1683682626
131,flying fish cove,-10.4217,105.6791,300.97,83,75,5.66,CX,1683682713
132,fort bragg,35.139,-79.006,297.06,67,0,0.0,US,1683682544
133,puerto deseado,-47.7503,-65.8938,281.06,65,95,3.22,AR,1683682806
134,conceicao da barra,-18.5933,-39.7322,295.62,81,54,1.8,BR,1683682806
135,luanco,43.6152,-5.7934,285.94,86,36,4.11,ES,1683682807
136,codrington,-38.2667,141.9667,288.09,57,100,1.95,AU,1683682703
137,necochea,-38.5473,-58.7368,285.75,81,73,4.71,AR,1683682790
138,kingston,17.997,-76.7936,299.95,84,95,0.45,JM,1683682614
139,jabor,5.921,169.6434,300.87,81,100,5.39,MH,1683682809
140,kismayo,-0.3582,42.5454,299.21,82,99,5.57,SO,1683682809
141,aykhal,66.0,111.5,265.48,90,100,9.33,RU,1683682747
142,ruidoso,33.3317,-105.673,295.23,8,0,7.72,US,1683682810
143,caldwell,43.6629,-116.6874,290.08,40,0,2.57,US,1683682709
144,vorgashor,67.5833,63.95,269.38,97,100,0.28,RU,1683682470
145,kongsberg,59.6652,9.6465,281.02,95,100,0.93,NO,1683682811
146,petropavlovsk-kamchatsky,53.0452,158.6483,281.48,43,75,4.0,RU,1683682305
147,jamestown,42.097,-79.2353,283.95,46,0,2.57,US,1683682627
148,capitan bado,-23.2667,-55.5333,290.72,93,44,1.54,PY,1683682813
149,adi keyh,14.8444,39.3772,290.35,66,53,0.2,ER,1683682813
150,whitecourt,54.1502,-115.6855,288.73,55,75,2.57,CA,1683682627
151,cockburn town,21.4612,-71.1419,299.71,84,0,7.38,TC,1683682814
152,portland,45.5234,-122.6762,293.17,50,20,3.6,US,1683682594
153,pisco,-13.7,-76.2167,293.18,83,100,4.12,PE,1683682815
154,okhotsk,59.3833,143.3,279.22,70,12,2.44,RU,1683682653
155,phan rang-thap cham,11.5667,108.9833,304.01,63,30,0.75,VN,1683682712
156,lodwar,3.1191,35.5973,299.97,62,92,2.69,KE,1683682817
157,zaraza,9.3503,-65.3245,299.92,70,80,2.09,VE,1683682817
158,hilo,19.7297,-155.09,299.42,84,100,3.09,US,1683682520
159,mana,5.6592,-53.7767,298.75,85,87,4.78,GF,1683682818
160,embi,48.8264,58.1442,290.48,48,100,5.15,KZ,1683682818
161,jolo,6.05,121.0167,303.23,67,100,2.55,PH,1683682819
162,trairi,-3.2778,-39.2689,297.49,89,30,1.85,BR,1683682531
163,nambutalai,9.7167,79.0,300.64,74,100,2.04,IN,1683682820
164,houghton,47.1219,-88.569,285.86,42,0,2.57,US,1683682800
165,flin flon,54.7682,-101.865,285.34,71,53,2.5,CA,1683682821
166,udachny,66.4167,112.4,268.4,79,100,8.67,RU,1683682635
167,constantia,44.1833,28.65,278.54,79,6,2.81,RO,1683682722
168,nieuw amsterdam,5.8833,-55.0833,299.27,89,80,3.5,SR,1683682823
169,bam,29.106,58.357,301.0,13,91,3.08,IR,1683682823
170,bokani,9.4333,5.2,300.5,63,100,1.99,NG,1683682824
171,korla,41.7597,86.1469,291.18,24,0,1.69,CN,1683682825
172,anxiang,29.4,112.15,288.64,87,100,4.89,CN,1683682825
173,quelimane,-17.8786,36.8883,295.12,94,75,1.54,MZ,1683682826
174,tofol,5.3248,163.0078,304.03,70,75,4.12,FM,1683682826
175,tazacorte,28.629,-17.9293,293.69,78,0,7.72,ES,1683682533
176,isafjordur,66.0755,-23.124,276.87,95,100,2.07,IS,1683682581
177,padang,-0.9492,100.3543,299.18,61,49,1.15,ID,1683682828
178,tallahassee,30.4383,-84.2807,300.26,74,20,2.57,US,1683682828
179,villa yapacani,-17.4,-63.8333,290.96,93,88,1.15,BO,1683682829
180,kodinsk,58.6881,99.1844,277.61,46,54,3.99,RU,1683682829
181,tiksi,71.6872,128.8694,265.2,80,74,5.64,RU,1683682594
182,ust-tsilma,65.441,52.1498,273.33,91,100,2.88,RU,1683682830
183,port lincoln,-34.7333,135.8667,289.58,66,17,4.85,AU,1683682543
184,sovetskaya gavan',48.9723,140.2878,276.4,74,100,7.65,RU,1683682831
185,lerwick,60.1545,-1.1494,281.15,88,100,1.23,GB,1683682611
186,labuan bajo,-8.4964,119.8877,302.8,68,69,0.48,ID,1683682832
187,mount gambier,-37.8333,140.7667,288.97,55,84,1.1,AU,1683682833
188,pangody,65.85,74.4859,272.93,98,100,2.76,RU,1683682833
189,kilju,40.9642,129.3278,290.52,31,76,4.51,KP,1683682833
190,aasiaat,68.7098,-52.8699,265.72,84,21,1.98,GL,1683682652
191,popondetta,-8.7537,148.2534,299.68,83,100,1.12,PG,1683682834
192,la cruz,23.9167,-106.9,297.92,53,23,2.87,MX,1683682835
193,gereida,11.2811,25.1414,301.96,26,100,1.59,SD,1683682835
194,burela de cabo,43.65,-7.4,283.8,85,18,3.09,ES,1683682836
195,choyr,46.3611,108.3611,285.22,53,100,3.16,MN,1683682621
196,cabo san lucas,22.8909,-109.9124,303.76,54,18,6.64,MX,1683682549
197,nema,57.5067,50.5011,277.89,74,8,1.59,RU,1683682837
198,arraial do cabo,-22.9661,-42.0278,297.07,83,20,3.6,BR,1683682733
199,chonchi,-42.6128,-73.8092,285.71,98,99,0.58,CL,1683682378
200,fale old settlement,-9.3852,-171.2468,302.23,75,84,6.66,TK,1683682574
201,kapuskasing,49.4169,-82.4331,288.2,47,100,1.54,CA,1683682717
202,colonia,50.9333,6.95,287.07,92,75,2.57,DE,1683682514
203,hamilton,39.1834,-84.5333,290.86,56,0,4.12,US,1683682534
204,kushiro,42.975,144.3747,282.68,87,75,2.57,JP,1683682840
205,palikir - national government center,6.9248,158.1611,304.56,70,100,1.54,FM,1683682687
206,porto cristo,39.5395,3.333,289.62,86,34,3.88,ES,1683682840
207,ta`u,-14.2336,-169.5144,301.28,74,70,5.77,AS,1683682841
208,berettyoujfalu,47.2167,21.55,282.42,87,44,2.28,HU,1683682841
209,grand falls-windsor,48.9332,-55.6649,275.65,78,100,4.47,CA,1683682313
210,alaghsas,17.0187,8.0168,300.86,9,97,3.63,NE,1683682675
211,dimitrovgrad,54.2139,49.6184,278.23,63,90,2.9,RU,1683682842
212,tazovsky,67.4667,78.7,264.76,94,100,5.72,RU,1683682712
213,alofi,-19.0595,-169.9187,302.09,70,40,4.12,NU,1683682602
214,porto torres,40.835,8.3972,289.25,92,100,5.87,IT,1683682843
215,praya,14.9215,-23.5087,295.45,78,20,6.69,CV,1683682844
216,touros,-5.1989,-35.4608,298.78,86,21,4.72,BR,1683682626
217,mocimboa,-11.3167,40.35,294.72,92,2,3.71,MZ,1683682844
218,shangzhi,45.2167,127.9667,286.59,36,0,2.66,CN,1683682846
219,timbuktu,16.7735,-3.0074,304.39,23,73,5.88,ML,1683682846
220,olonkinbyen,70.9221,-8.7187,275.05,100,100,4.16,SJ,1683682603
221,west bay,19.3667,-81.4167,301.19,82,20,2.57,KY,1683682847
222,taitung city,22.7583,121.1444,298.3,65,75,2.06,TW,1683682847
223,manaure,11.7751,-72.4445,301.69,73,100,4.77,CO,1683682848
224,arauco,-37.2463,-73.3175,286.26,65,100,2.02,CL,1683682848
225,nuku'alofa,-21.1333,-175.2,300.34,89,40,2.06,TO,1683682769
226,nuuk,64.1835,-51.7216,272.49,86,100,2.68,GL,1683682854
227,lukolela,-1.0605,17.1821,294.09,98,100,1.93,CD,1683682855
228,kurmuk,10.55,34.2833,299.12,60,100,0.39,SD,1683682855
229,hermanus,-34.4187,19.2345,287.48,75,100,3.01,ZA,1683682569
230,sarina,-21.4333,149.2167,292.97,60,84,5.57,AU,1683682856
231,corn island,12.1694,-83.0418,301.11,79,90,6.13,NI,1683682856
232,hobyo,5.3505,48.5268,300.08,80,100,8.03,SO,1683682559
233,guiratinga,-16.3494,-53.7583,293.56,67,86,1.29,BR,1683682857
234,la passe,45.5549,-0.8967,286.47,61,91,7.59,FR,1683682677
235,saipan,15.1355,145.701,304.54,100,40,5.14,MP,1683682571
236,tibati,6.4667,12.6333,292.44,96,100,0.71,CM,1683682858
237,mar del plata,-38.0023,-57.5575,286.53,84,0,3.13,AR,1683682859
238,kenai,60.5544,-151.2583,284.18,48,100,7.72,US,1683682668
239,honefoss,60.168,10.2565,282.0,89,100,1.15,NO,1683682859
240,itoman,26.1247,127.6694,296.58,68,75,5.66,JP,1683682860
241,orenburg,51.7727,55.0988,281.16,88,100,7.01,RU,1683682860
242,tarko-sale,64.9225,77.785,273.77,100,100,4.2,RU,1683682861
243,saint-pierre,-21.3393,55.4781,295.97,64,0,1.54,RE,1683682711
244,rongelap,11.1635,166.8941,300.43,83,83,7.59,MH,1683682576
245,port-gentil,-0.7193,8.7815,300.52,83,100,2.95,GA,1683682727
246,mermoz boabab,14.7065,-17.4758,298.46,87,54,4.22,SN,1683682863
247,hailar,49.2,119.7,289.03,24,0,0.66,CN,1683682863
248,latimer,30.5346,-88.8667,299.1,88,100,2.57,US,1683682864
249,alta,69.9689,23.2717,278.74,70,75,2.57,NO,1683682864
250,darovskoy,58.77,47.9564,277.39,81,99,1.95,RU,1683682865
